date,stock_id,CashEarningsDistribution,CashExDividendTradingDate
2018-07-01,2330,8,2018-06-25
2019-06-30,2330,8,2019-06-24
2019-09-25,2330,2,2019-09-19
2019-12-25,2330,2.5,2019-12-19
2020-03-25,2330,2.5,2020-03-19
2020-06-24,2330,2.5,2020-06-18
2020-09-23,2330,2.5,2020-09-17
2020-12-23,2330,2.5,2020-12-17
2021-03-23,2330,2.5,2021-03-17
2021-06-23,2330,2.5,2021-06-17
2021-09-22,2330,2.75,2021-09-16
2021-12-22,2330,2.75,2021-12-16
2022-03-22,2330,2.75,2022-03-16
2022-06-22,2330,2.75,2022-06-16
2022-09-21,2330,2.75,2022-09-15
2022-12-21,2330,2.75,2022-12-15
2023-03-22,2330,2.74982072,2023-03-16
2023-06-21,2330,2.74982072,2023-06-15
2023-09-20,2330,3,2023-09-14
2023-12-20,2330,3,2023-12-14
2010-08-17,2881,1.99785506,2010-08-11
2011-08-23,2881,0.9989142,2011-08-17
2012-08-15,2881,0.99873978,2012-08-09
2013-07-07,2881,1,2013-07-01
2014-06-29,2881,1.5,2014-06-23
2015-07-06,2881,3,2015-06-30
2016-03-30,2881,0,
2016-07-03,2881,2,2016-06-27
2017-07-09,2881,2,2017-07-03
2018-02-16,2881,0,
2018-07-02,2881,2.3,2018-06-26
2019-07-12,2881,2,2019-07-04
2020-07-07,2881,2,2020-07-01
2021-08-01,2881,3,2021-07-26
2021-09-12,2881,0,
2022-08-02,2881,3.5,2022-07-27
2022-09-28,2881,0,
2023-07-26,2881,1.5,2023-07-20
2023-09-10,2881,0,
2020-11-23,878,0.05,2020-11-17
2021-03-06,878,0.15,2021-02-25
2021-05-24,878,0.25,2021-05-18
2021-08-23,878,0.3,2021-08-17
2021-11-22,878,0.28,2021-11-16
2022-02-28,878,0.3,2022-02-22
2022-05-24,878,0.32,2022-05-18
2022-08-22,878,0.28,2022-08-16
2022-11-22,878,0.28,2022-11-16
2023-02-22,878,0.27,2023-02-16
2023-05-23,878,0.27,2023-05-17
2023-08-22,878,0.35,2023-08-16
2023-11-24,878,0.35,2023-11-16
2010-10-31,50,2.2,2010-10-25
2011-11-01,50,1.95,2011-10-26
2012-10-30,50,1.85,2012-10-24
2013-10-30,50,1.35,2013-10-24
2014-11-01,50,1.55,2014-10-24
2015-11-01,50,2,2015-10-26
2016-08-03,50,0.85,2016-07-28
2017-02-14,50,1.7,2017-02-08
2017-08-06,50,0.7,2017-07-31
2018-02-04,50,2.2,2018-01-29
2018-06-01,50,1.85,2012-10-24
2018-07-29,50,0.7,2018-07-23
2019-01-28,50,2.3,2019-01-22
2019-07-27,50,0.7,2019-07-19
2020-02-08,50,2.9,2020-01-31
2020-07-27,50,0.7,2020-07-21
2021-01-30,50,3.05,2021-01-22
2021-07-27,50,0.35,2021-07-21
2022-01-29,50,3.2,2022-01-21
2022-07-24,50,1.8,2022-07-18
2023-02-05,50,2.6,2023-01-30
2023-07-24,50,1.9,2023-07-18
2024-01-23,50,3,2024-01-17
2023-07-25,929,0.11,2023-07-19
2023-08-23,929,0.11,2023-08-17
2023-09-25,929,0.11,2023-09-19
2023-10-30,929,0.11,2023-10-24
2023-11-27,929,0.11,2023-11-21
2023-12-25,929,0.11,2023-12-19
2024-01-24,929,0.13,2024-01-18
2021-01-25,00687B,0.19,2021-01-19
2011-11-01,56,2.2,2011-10-26
2012-10-30,56,1.3,2012-10-24
2013-10-30,56,0.85,2013-10-24
2014-11-01,56,1,2014-10-24
2015-11-01,56,1,2015-10-26
2016-11-01,56,1.3,2016-10-26
2017-11-05,56,0.95,2017-10-30
2018-10-29,56,1.45,2018-10-23
2019-10-29,56,1.8,2019-10-23
2020-11-03,56,1.6,2020-10-28
2021-10-30,56,1.8,2021-10-22
2022-10-25,56,2.1,2022-10-19
2023-07-24,56,1,2023-07-18
2023-10-25,56,1.2,2023-10-19
2024-01-23,56,0.7,2024-01-17
2023-06-24,919,0.54,2023-06-16
2023-09-24,919,0.54,2023-09-18
2023-12-24,919,0.55,2023-12-18
2012-11-07,6208,1.844,2012-11-01
2013-11-05,6208,0.629,2013-10-30
2014-11-04,6208,1.212,2014-10-29
2015-11-04,6208,0.845,2015-10-29
2016-08-08,6208,0.043,2016-08-02
2017-08-04,6208,1,2017-07-27
2017-12-06,6208,1.65,2017-11-30
2018-08-03,6208,0.65,2018-07-26
2018-12-05,6208,2,2018-11-29
2019-07-24,6208,0.661,2019-07-18
2019-11-26,6208,1.138,2019-11-20
2020-07-27,6208,0.481,2020-07-21
2020-11-23,6208,1.139,2020-11-17
2021-07-24,6208,0.314,2021-07-16
2021-11-22,6208,1.641,2021-11-16
2022-07-24,6208,1.248,2022-07-18
2022-11-22,6208,1.03,2022-11-16
2023-07-24,6208,1.352,2023-07-18
2023-11-22,6208,0.861,2023-11-16
